text,sentiment
I love this product!,positive
This is the worst experience ever.,negative
The movie was okay, not great but not bad.,neutral
I am so happy with the service.,positive
I am very disappointed with the quality.,negative
The weather is pleasant today.,neutral
This is amazing!,positive
I hate waiting in line.,negative
It's a decent book.,neutral
Absolutely fantastic!,positive
This is unacceptable.,negative
I have no strong feelings about this.,neutral
Best purchase I've ever made.,positive
I will never buy from here again.,negative
The meeting was productive.,neutral
What a wonderful surprise!,positive
This is a complete disaster.,negative
It's an average restaurant.,neutral
I'm thrilled with the results.,positive
This makes me so angry.,negative